incident_month,incident_week,incident_weekday,weekend,part_of_the_day,latitude,longitude,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,precip,humidity,visibility,cloudcover,heatindex,season,household,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,cyber_cafe,school,college,cinema,crime
7,27,1,0,3,23.806386,90.38948,cantonment,dhaka,dhaka,29.7,25.8,21.9,353,11.5,81.0,7.0,42.0,38.0,2,10661,27047,22163,49210,122.0,4.6,17652,57.5,11,5,2,0,6,13,10,2,kidnap
4,16,5,1,1,23.761338,90.410106,rampura,dhaka,dhaka,37.8,32.8,27.8,176,17.6,80.0,9.0,66.0,46.0,1,28313,65374,55458,120832,118.0,4.3,49200,71.2,42,7,9,3,36,74,19,11,assault
10,40,5,1,4,23.736225,90.368142,hazaribagh,dhaka,dhaka,32.2,28.1,24.0,176,10.9,88.0,7.0,76.0,41.0,2,9077,20944,17275,38219,121.0,4.2,15924,70.1,21,5,1,2,7,16,6,4,kidnap
5,22,5,1,4,23.732764,90.403828,buet,dhaka,dhaka,37.7,33.0,28.3,386,25.0,95.0,4.0,72.0,47.0,1,32783,71994,62114,134108,116.0,4.1,46390,50.7,42,12,3,2,28,40,23,3,murder
10,42,1,0,2,23.737409,90.389431,buet,dhaka,dhaka,37.2,33.9,30.6,113,0.9,65.0,8.0,8.0,44.0,2,15417,38573,31911,70484,121.0,4.6,31762,83.9,34,10,6,3,25,40,20,4,robbery
8,32,6,1,1,23.926597,90.325303,ashulia,dhaka,dhaka,36.8,34.5,32.3,353,14.9,71.0,7.0,76.0,44.0,2,24581,55513,46063,101576,121.0,4.1,50737,79.1,88,24,6,6,24,77,34,15,assault
6,26,5,1,1,23.90603,90.322102,ashulia,dhaka,dhaka,30.4,25.8,21.2,359,41.9,91.0,6.0,76.0,40.0,2,9805,21874,18792,40666,116.0,4.1,16915,63.2,6,3,1,0,7,6,7,4,bodyfound
1,4,6,1,4,23.789804,90.411533,gulshan,dhaka,dhaka,33.3,28.5,23.8,113,0.4,69.0,9.0,40.0,40.0,3,27950,68404,55449,123853,123.0,4.4,44185,80.3,69,17,7,3,43,69,31,12,robbery
7,29,1,0,0,23.714482,90.492212,demra,dhaka,dhaka,32.6,28.8,24.9,116,0.1,63.0,8.0,38.0,39.0,2,13920,34597,28168,62765,123.0,4.5,40930,62.4,20,7,3,0,11,19,8,1,rape
5,20,5,1,2,23.777356,90.407161,gulshan,dhaka,dhaka,28.8,26.6,24.3,113,0.5,58.0,10.0,16.0,35.0,1,11343,25950,21521,47471,121.0,4.2,30696,72.2,30,3,2,7,11,30,14,4,robbery
7,29,5,1,2,23.845702,90.265946,savar,dhaka,dhaka,33.1,28.9,24.8,113,0.6,65.0,8.0,30.0,40.0,2,13634,31627,26264,57891,120.0,4.2,32555,67.8,40,4,3,7,18,34,14,2,robbery
7,27,6,1,4,23.79893,90.44512,badda,dhaka,dhaka,29.2,26.3,23.4,359,23.7,88.0,4.0,98.0,38.0,2,19216,48676,41750,90426,117.0,4.7,43016,66.5,32,8,3,2,15,36,16,11,murder
7,28,4,0,4,23.739868,90.360914,hazaribagh,dhaka,dhaka,32.6,28.0,23.4,113,1.0,56.0,9.0,25.0,38.0,2,21188,51757,44360,96117,117.0,4.5,38987,59.8,33,8,1,3,20,45,17,4,rape
11,45,6,1,3,23.753127,90.375194,hazaribagh,dhaka,dhaka,30.1,28.0,26.0,176,19.2,73.0,7.0,69.0,37.0,2,8714,18849,16166,35015,117.0,4.0,15133,67.8,14,1,3,2,4,13,6,3,kidnap
10,41,6,1,4,23.715272,90.388574,buet,dhaka,dhaka,33.7,30.0,26.4,113,1.8,65.0,8.0,23.0,40.0,2,15581,41011,33077,74088,124.0,4.8,39345,65.9,49,14,7,7,16,47,19,5,robbery
4,16,6,1,2,23.745393,90.417422,uttarkhan,dhaka,dhaka,34.5,30.7,26.8,176,10.1,84.0,7.0,52.0,43.0,1,11315,28488,23476,51964,121.0,4.6,25832,63.2,15,5,1,2,11,21,7,6,assault
5,20,5,1,2,23.72537,90.413907,uttarkhan,dhaka,dhaka,30.1,28.0,25.9,356,13.7,89.0,8.0,50.0,39.0,1,11966,29665,25787,55452,115.0,4.6,22867,64.9,26,5,1,3,16,35,10,6,assault
6,24,6,1,4,23.746033,90.364574,hazaribagh,dhaka,dhaka,33.8,30.7,27.5,113,1.0,68.0,10.0,1.0,41.0,2,16166,39587,33472,73059,118.0,4.5,26797,74.8,45,10,5,3,13,45,19,10,rape
9,37,6,1,3,23.751018,90.421263,aftabnagar,dhaka,dhaka,32.3,27.6,22.8,113,0.5,59.0,9.0,29.0,38.0,2,45053,111926,92832,204758,121.0,4.5,68877,66.9,79,19,9,2,37,84,44,22,robbery
